Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,NA_Sales_Million,EU_Sales,EU_Sales_Million,JP_Sales,JP_Sales_Million,Other_Sales,Other_Sales_Million,Global_Sales,Global_Sales_Million
42,Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,2.55,2.55M,3.52,3.52M,5.33,5.33M,0.88,0.88M,12.27,12.27M
43,Mario Kart 7,3DS,2011.0,Racing,Nintendo,4.74,4.74M,3.91,3.91M,2.67,2.67M,0.89,0.89M,12.21,12.21M
44,Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,7.97,7.97M,2.83,2.83M,0.13,0.13M,1.21,1.21M,12.14,12.14M
45,Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,3.8,3.80M,5.81,5.81M,0.36,0.36M,2.02,2.02M,11.98,11.98M
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009.0,Action,Nintendo,4.4,4.40M,2.77,2.77M,3.96,3.96M,0.77,0.77M,11.9,11.90M
47,Super Mario 64,N64,1996.0,Platform,Nintendo,6.91,6.91M,2.85,2.85M,1.91,1.91M,0.23,0.23M,11.89,11.89M
48,Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,3.01,3.01M,0.01,0.01M,1.1,1.10M,7.53,7.53M,11.66,11.66M
49,Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,6.16,6.16M,3.4,3.40M,1.2,1.20M,0.76,0.76M,11.52,11.52M
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,Nintendo,4.23,4.23M,3.37,3.37M,3.08,3.08M,0.65,0.65M,11.33,11.33M
51,Super Mario Land 2: 6 Golden Coins,GB,1992.0,Adventure,Nintendo,6.16,6.16M,2.04,2.04M,2.69,2.69M,0.29,0.29M,11.18,11.18M
52,Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,6.76,6.76M,3.1,3.10M,0.14,0.14M,1.03,1.03M,11.02,11.02M
53,Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,4.02,4.02M,3.87,3.87M,2.54,2.54M,0.52,0.52M,10.95,10.95M
54,Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,4.89,4.89M,2.99,2.99M,2.13,2.13M,0.78,0.78M,10.79,10.79M
55,Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,2.96,2.96M,4.88,4.88M,0.81,0.81M,2.12,2.12M,10.77,10.77M
56,Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,4.99,4.99M,3.69,3.69M,0.38,0.38M,1.63,1.63M,10.69,10.69M
57,Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,4.76,4.76M,3.76,3.76M,0.44,0.44M,1.62,1.62M,10.57,10.57M
58,Super Mario All-Stars,SNES,1993.0,Platform,Nintendo,5.99,5.99M,2.15,2.15M,2.12,2.12M,0.29,0.29M,10.55,10.55M
59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,Nintendo,4.34,4.34M,2.65,2.65M,3.15,3.15M,0.35,0.35M,10.49,10.49M
60,Super Mario 64,DS,2004.0,Platform,Nintendo,5.08,5.08M,3.11,3.11M,1.25,1.25M,0.98,0.98M,10.42,10.42M
61,Just Dance 3,Wii,2011.0,Misc,Ubisoft,6.05,6.05M,3.15,3.15M,0.0,0.00M,1.07,1.07M,10.26,10.26M
62,Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,6.72,6.72M,2.63,2.63M,0.04,0.04M,0.82,0.82M,10.21,10.21M
63,Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,7.03,7.03M,1.98,1.98M,0.08,0.08M,0.78,0.78M,9.88,9.88M
64,Mario Kart 64,N64,1996.0,Racing,Nintendo,5.55,5.55M,1.94,1.94M,2.23,2.23M,0.15,0.15M,9.87,9.87M
65,New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,3.66,3.66M,3.07,3.07M,2.47,2.47M,0.63,0.63M,9.82,9.82M
66,Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,6.63,6.63M,2.36,2.36M,0.04,0.04M,0.73,0.73M,9.76,9.76M
67,Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,3.01,3.01M,2.47,2.47M,3.28,3.28M,0.96,0.96M,9.72,9.72M
68,Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,4.09,4.09M,3.73,3.73M,0.38,0.38M,1.38,1.38M,9.59,9.59M
69,Just Dance 2,Wii,2010.0,Misc,Ubisoft,5.84,5.84M,2.89,2.89M,0.01,0.01M,0.78,0.78M,9.52,9.52M
70,Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,3.88,3.88M,3.42,3.42M,1.69,1.69M,0.5,0.50M,9.49,9.49M
71,Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,5.91,5.91M,2.38,2.38M,0.13,0.13M,0.9,0.90M,9.32,9.32M
72,Donkey Kong Country,SNES,1994.0,Platform,Nintendo,4.36,4.36M,1.71,1.71M,3.0,3.00M,0.23,0.23M,9.3,9.30M
73,Minecraft,X360,2013.0,Misc,Microsoft Game Studios,5.58,5.58M,2.83,2.83M,0.02,0.02M,0.77,0.77M,9.2,9.20M
74,Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,2.01,2.01M,2.32,2.32M,4.36,4.36M,0.41,0.41M,9.09,9.09M
75,Mario Party DS,DS,2007.0,Misc,Nintendo,4.46,4.46M,1.88,1.88M,1.98,1.98M,0.7,0.70M,9.02,9.02M
76,The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,5.03,5.03M,2.86,2.86M,0.1,0.10M,0.85,0.85M,8.84,8.84M
77,Super Mario Kart,SNES,1992.0,Racing,Nintendo,3.54,3.54M,1.24,1.24M,3.81,3.81M,0.18,0.18M,8.76,8.76M
78,FIFA 16,PS4,2015.0,Sports,Electronic Arts,1.11,1.11M,6.06,6.06M,0.06,0.06M,1.26,1.26M,8.49,8.49M
79,Wii Party,Wii,2010.0,Misc,Nintendo,1.79,1.79M,3.53,3.53M,2.49,2.49M,0.68,0.68M,8.49,8.49M
80,Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,6.82,6.82M,1.53,1.53M,0.05,0.05M,0.08,0.08M,8.49,8.49M
81,Mario Party 8,Wii,2007.0,Misc,Nintendo,3.81,3.81M,2.3,2.30M,1.58,1.58M,0.73,0.73M,8.42,8.42M
82,Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,Nintendo,2.91,2.91M,1.86,1.86M,3.14,3.14M,0.43,0.43M,8.33,8.33M
83,FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,1.06,1.06M,5.05,5.05M,0.13,0.13M,2.01,2.01M,8.24,8.24M
84,The Sims 3,PC,2009.0,Simulation,Electronic Arts,0.98,0.98M,6.42,6.42M,0.0,0.00M,0.71,0.71M,8.11,8.11M
85,GoldenEye 007,N64,1997.0,Shooter,Nintendo,5.8,5.80M,2.01,2.01M,0.13,0.13M,0.15,0.15M,8.09,8.09M
86,Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,Sega,2.58,2.58M,3.9,3.90M,0.66,0.66M,0.91,0.91M,8.06,8.06M
87,Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,2.91,2.91M,2.07,2.07M,2.73,2.73M,0.33,0.33M,8.05,8.05M
88,Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft,2.28,2.28M,1.72,1.72M,3.63,3.63M,0.23,0.23M,7.86,7.86M
89,Pokémon Platinum Version,DS,2008.0,Role-Playing,Nintendo,2.82,2.82M,1.78,1.78M,2.69,2.69M,0.55,0.55M,7.84,7.84M
90,Pac-Man,2600,1982.0,Puzzle,Atari,7.28,7.28M,0.45,0.45M,0.0,0.00M,0.08,0.08M,7.81,7.81M
91,Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,2.9,2.90M,2.83,2.83M,0.24,0.24M,1.75,1.75M,7.72,7.72M
92,Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,3.66,3.66M,2.42,2.42M,0.98,0.98M,0.64,0.64M,7.69,7.69M
93,Star Wars Battlefront (2015),PS4,2015.0,Shooter,Electronic Arts,2.93,2.93M,3.29,3.29M,0.22,0.22M,1.23,1.23M,7.67,7.67M
94,Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision,2.8,2.80M,3.3,3.30M,0.14,0.14M,1.37,1.37M,7.6,7.60M
95,The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,Nintendo,4.1,4.10M,1.89,1.89M,1.45,1.45M,0.16,0.16M,7.6,7.60M
96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,Platform,Sony Computer Entertainment,3.78,3.78M,2.17,2.17M,1.31,1.31M,0.31,0.31M,7.58,7.58M
97,Super Mario Bros. 2,NES,1988.0,Platform,Nintendo,5.39,5.39M,1.18,1.18M,0.7,0.70M,0.19,0.19M,7.46,7.46M
98,Super Smash Bros. for Wii U and 3DS,3DS,2014.0,Fighting,Nintendo,3.24,3.24M,1.35,1.35M,2.42,2.42M,0.43,0.43M,7.45,7.45M
99,Call of Duty: World at War,X360,2008.0,Shooter,Activision,4.79,4.79M,1.9,1.90M,0.0,0.00M,0.69,0.69M,7.37,7.37M
100,Battlefield 3,X360,2011.0,Shooter,Electronic Arts,4.46,4.46M,2.13,2.13M,0.06,0.06M,0.69,0.69M,7.34,7.34M
101,The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,3.83,3.83M,2.19,2.19M,0.6,0.60M,0.7,0.70M,7.31,7.31M
102,Call of Duty: Black Ops 3,XOne,2015.0,Shooter,Activision,4.52,4.52M,2.09,2.09M,0.01,0.01M,0.67,0.67M,7.3,7.30M
103,Just Dance,Wii,2009.0,Misc,Ubisoft,3.51,3.51M,3.03,3.03M,0.0,0.00M,0.73,0.73M,7.27,7.27M
104,Battlefield 3,PS3,2011.0,Shooter,Electronic Arts,2.85,2.85M,2.93,2.93M,0.35,0.35M,1.1,1.10M,7.23,7.23M
105,Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,3.27,3.27M,2.83,2.83M,0.08,0.08M,1.02,1.02M,7.2,7.20M
106,Tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment,3.27,3.27M,2.22,2.22M,1.4,1.40M,0.29,0.29M,7.16,7.16M
107,Crash Bandicoot 3: Warped,PS,1998.0,Platform,Sony Computer Entertainment,3.68,3.68M,1.75,1.75M,1.42,1.42M,0.28,0.28M,7.13,7.13M
108,Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,4.41,4.41M,1.04,1.04M,1.39,1.39M,0.22,0.22M,7.07,7.07M
109,Mario Kart 8,WiiU,2014.0,Racing,Nintendo,3.13,3.13M,2.07,2.07M,1.27,1.27M,0.49,0.49M,6.96,6.96M
110,Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,2.47,2.47M,3.15,3.15M,0.24,0.24M,1.1,1.10M,6.96,6.96M
111,Mario Kart: Double Dash!!,GC,2003.0,Racing,Nintendo,4.12,4.12M,1.77,1.77M,0.87,0.87M,0.19,0.19M,6.95,6.95M
112,Just Dance 4,Wii,2012.0,Misc,Ubisoft,4.14,4.14M,2.21,2.21M,0.0,0.00M,0.56,0.56M,6.91,6.91M
113,FIFA 14,PS3,2013.0,Sports,Electronic Arts,0.78,0.78M,4.32,4.32M,0.07,0.07M,1.73,1.73M,6.9,6.90M
114,Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts,2.71,2.71M,3.02,3.02M,0.08,0.08M,1.09,1.09M,6.9,6.90M
115,Medal of Honor: Frontline,PS2,2002.0,Shooter,Electronic Arts,2.93,2.93M,2.75,2.75M,0.17,0.17M,0.99,0.99M,6.83,6.83M
116,Uncharted 3: Drake's Deception,PS3,2011.0,Action,Sony Computer Entertainment,2.77,2.77M,2.8,2.80M,0.19,0.19M,1.06,1.06M,6.83,6.83M
117,Crash Bandicoot,PS,1996.0,Platform,Sony Computer Entertainment,3.23,3.23M,2.35,2.35M,0.94,0.94M,0.3,0.30M,6.82,6.82M
118,Zumba Fitness,Wii,2010.0,Sports,505 Games,3.5,3.50M,2.64,2.64M,0.0,0.00M,0.67,0.67M,6.81,6.81M
119,Gears of War 2,X360,2008.0,Shooter,Microsoft Game Studios,4.15,4.15M,1.92,1.92M,0.06,0.06M,0.64,0.64M,6.76,6.76M
120,Uncharted 2: Among Thieves,PS3,2009.0,Action,Sony Computer Entertainment,3.27,3.27M,2.25,2.25M,0.21,0.21M,1.0,1.00M,6.73,6.73M
121,Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,Activision,3.1,3.10M,2.3,2.30M,0.28,0.28M,1.04,1.04M,6.72,6.72M
122,FIFA 12,PS3,2011.0,Sports,Electronic Arts,0.84,0.84M,4.32,4.32M,0.11,0.11M,1.42,1.42M,6.69,6.69M
123,Big Brain Academy,DS,2005.0,Misc,Nintendo,1.67,1.67M,2.78,2.78M,1.6,1.60M,0.62,0.62M,6.67,6.67M
124,Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,2.79,2.79M,2.61,2.61M,0.17,0.17M,1.03,1.03M,6.6,6.60M
125,FIFA 15,PS4,2014.0,Sports,Electronic Arts,0.79,0.79M,4.29,4.29M,0.05,0.05M,1.47,1.47M,6.59,6.59M
126,Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo,3.25,3.25M,1.84,1.84M,1.03,1.03M,0.47,0.47M,6.59,6.59M
127,The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,2.55,2.55M,2.71,2.71M,0.25,0.25M,1.05,1.05M,6.56,6.56M
128,The Legend of Zelda,NES,1986.0,Action,Nintendo,3.74,3.74M,0.93,0.93M,1.69,1.69M,0.14,0.14M,6.51,6.51M
129,Assassin's Creed III,PS3,2012.0,Action,Ubisoft,2.64,2.64M,2.56,2.56M,0.16,0.16M,1.14,1.14M,6.5,6.50M
130,Halo: Combat Evolved,XB,2001.0,Shooter,Microsoft Game Studios,4.98,4.98M,1.3,1.30M,0.08,0.08M,0.07,0.07M,6.43,6.43M
131,Pokémon Emerald Version,GBA,2004.0,Role-Playing,Nintendo,2.57,2.57M,1.58,1.58M,2.06,2.06M,0.21,0.21M,6.41,6.41M
132,Kingdom Hearts,PS2,2002.0,Role-Playing,Sony Computer Entertainment,3.64,3.64M,1.2,1.20M,1.49,1.49M,0.07,0.07M,6.4,6.40M
133,Pokémon Crystal Version,GB,2000.0,Role-Playing,Nintendo,2.55,2.55M,1.56,1.56M,1.29,1.29M,0.99,0.99M,6.39,6.39M
134,Halo 3: ODST,X360,2009.0,Shooter,Microsoft Game Studios,4.34,4.34M,1.35,1.35M,0.06,0.06M,0.61,0.61M,6.36,6.36M
135,Red Dead Redemption,X360,2010.0,Action,Take-Two Interactive,3.7,3.70M,1.97,1.97M,0.09,0.09M,0.57,0.57M,6.34,6.34M
136,Super Mario Sunshine,GC,2002.0,Platform,Nintendo,4.01,4.01M,1.26,1.26M,0.87,0.87M,0.17,0.17M,6.31,6.31M
137,Street Fighter II: The World Warrior,SNES,1992.0,Fighting,Capcom,2.47,2.47M,0.83,0.83M,2.87,2.87M,0.12,0.12M,6.3,6.30M
138,World of Warcraft,PC,2004.0,Role-Playing,Activision,0.07,0.07M,6.21,6.21M,0.0,0.00M,0.0,0.00M,6.28,6.28M
139,Driver,PS,1999.0,Action,GT Interactive,3.11,3.11M,2.8,2.80M,0.02,0.02M,0.33,0.33M,6.27,6.27M
140,Kinect Sports,X360,2010.0,Sports,Microsoft Game Studios,3.92,3.92M,1.78,1.78M,0.03,0.03M,0.51,0.51M,6.24,6.24M
141,Gears of War 3,X360,2011.0,Shooter,Microsoft Game Studios,4.05,4.05M,1.62,1.62M,0.07,0.07M,0.49,0.49M,6.24,6.24M
142,Gears of War,X360,2006.0,Shooter,Microsoft Game Studios,3.54,3.54M,1.9,1.90M,0.07,0.07M,0.6,0.60M,6.11,6.11M
143,Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,Konami Digital Entertainment,2.45,2.45M,2.01,2.01M,0.87,0.87M,0.72,0.72M,6.05,6.05M
144,Sonic the Hedgehog 2,GEN,1992.0,Platform,Sega,4.47,4.47M,1.2,1.20M,0.16,0.16M,0.19,0.19M,6.03,6.03M
145,Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,Konami Digital Entertainment,2.63,2.63M,1.74,1.74M,0.83,0.83M,0.83,0.83M,6.03,6.03M
146,Metal Gear Solid,PS,1998.0,Action,Konami Digital Entertainment,3.18,3.18M,1.83,1.83M,0.78,0.78M,0.24,0.24M,6.03,6.03M
147,The Last of Us,PS3,2013.0,Action,Sony Computer Entertainment Europe,2.41,2.41M,2.28,2.28M,0.28,0.28M,1.01,1.01M,5.99,5.99M
148,Final Fantasy XII,PS2,2006.0,Role-Playing,Square Enix,1.88,1.88M,0.0,0.00M,2.33,2.33M,1.74,1.74M,5.95,5.95M
149,LittleBigPlanet,PS3,2008.0,Platform,Sony Computer Entertainment,2.8,2.80M,2.05,2.05M,0.17,0.17M,0.9,0.90M,5.92,5.92M
150,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,Nintendo,0.66,0.66M,0.69,0.69M,4.35,4.35M,0.15,0.15M,5.84,5.84M
151,LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,LucasArts,3.66,3.66M,1.63,1.63M,0.0,0.00M,0.53,0.53M,5.83,5.83M
152,Resident Evil 2,PS,1998.0,Action,Virgin Interactive,1.88,1.88M,1.47,1.47M,2.02,2.02M,0.45,0.45M,5.82,5.82M
153,Tekken 2,PS,1996.0,Fighting,Sony Computer Entertainment,2.26,2.26M,1.89,1.89M,1.36,1.36M,0.23,0.23M,5.74,5.74M
154,Cooking Mama,DS,2006.0,Simulation,505 Games,3.13,3.13M,1.94,1.94M,0.07,0.07M,0.58,0.58M,5.72,5.72M
155,Destiny,PS4,2014.0,Shooter,Activision,2.49,2.49M,2.05,2.05M,0.16,0.16M,0.96,0.96M,5.65,5.65M
156,Tetris,NES,1988.0,Puzzle,Nintendo,2.97,2.97M,0.69,0.69M,1.81,1.81M,0.11,0.11M,5.58,5.58M
157,Assassin's Creed II,PS3,2009.0,Action,Ubisoft,2.54,2.54M,1.95,1.95M,0.21,0.21M,0.87,0.87M,5.57,5.57M
158,Super Smash Bros.,N64,1999.0,Fighting,Nintendo,2.95,2.95M,0.6,0.60M,1.97,1.97M,0.04,0.04M,5.55,5.55M
159,Assassin's Creed,X360,2007.0,Adventure,Ubisoft,3.28,3.28M,1.65,1.65M,0.07,0.07M,0.55,0.55M,5.55,5.55M
160,Batman: Arkham City,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,2.7,2.70M,1.91,1.91M,0.11,0.11M,0.8,0.80M,5.53,5.53M
161,Forza Motorsport 3,X360,2009.0,Racing,Microsoft Game Studios,2.99,2.99M,1.92,1.92M,0.1,0.10M,0.51,0.51M,5.51,5.51M
162,Monster Hunter Freedom Unite,PSP,2008.0,Role-Playing,Capcom,0.47,0.47M,0.57,0.57M,4.13,4.13M,0.34,0.34M,5.5,5.50M
163,Super Mario Advance,GBA,2001.0,Platform,Nintendo,3.14,3.14M,1.24,1.24M,0.91,0.91M,0.2,0.20M,5.49,5.49M
164,Mario Kart: Super Circuit,GBA,2001.0,Racing,Nintendo,2.62,2.62M,1.64,1.64M,0.99,0.99M,0.23,0.23M,5.47,5.47M
165,Super Mario World,GBA,2001.0,Platform,Nintendo,3.21,3.21M,1.11,1.11M,0.95,0.95M,0.2,0.20M,5.46,5.46M
166,Pokemon Stadium,N64,1999.0,Strategy,Nintendo,3.18,3.18M,1.24,1.24M,0.94,0.94M,0.09,0.09M,5.45,5.45M
167,Call of Duty: World at War,PS3,2008.0,Shooter,Activision,2.72,2.72M,1.87,1.87M,0.0,0.00M,0.84,0.84M,5.43,5.43M
168,Crash Bandicoot: The Wrath of Cortex,PS2,2001.0,Platform,Universal Interactive,2.07,2.07M,2.29,2.29M,0.24,0.24M,0.82,0.82M,5.42,5.42M
169,Minecraft,PS3,2014.0,Misc,Sony Computer Entertainment,1.97,1.97M,2.51,2.51M,0.0,0.00M,0.94,0.94M,5.42,5.42M
170,Final Fantasy XIII,PS3,2009.0,Role-Playing,Square Enix,1.74,1.74M,1.24,1.24M,1.87,1.87M,0.52,0.52M,5.36,5.36M
171,Dr. Mario,GB,1989.0,Puzzle,Nintendo,2.18,2.18M,0.96,0.96M,2.0,2.00M,0.2,0.20M,5.34,5.34M
172,Pokemon Pinball,GB,1999.0,Misc,Nintendo,3.02,3.02M,1.12,1.12M,1.01,1.01M,0.16,0.16M,5.31,5.31M
173,Assassin's Creed III,X360,2012.0,Action,Ubisoft,3.13,3.13M,1.71,1.71M,0.03,0.03M,0.44,0.44M,5.3,5.30M
